Risk_ID,Risk_Title,RMS_Stage,Qualitative_Rating,Quantitative_Score,Recommended_Response,Monitoring_Action,Owner,QA_Reviewer,Response_Category
R024,Permit Risk Score,Quantitative Risk Analysis,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R025,QA Failure Rate,Quantitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R026,Material Lead Time Risk,Quantitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R027,Safety Incident Probability,Quantitative Risk Analysis,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HSE Officer,QA Lead,
R028,Access Risk Score,Quantitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R029,Design Rework Probability,Quantitative Risk Analysis,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R030,Resource Burn Rate Risk,Quantitative Risk Analysis,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HR Manager,QA Lead,
R031,Mitigation Budget Risk,Risk Response Planning,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R032,Vendor Contract Risk,Risk Response Planning,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Legal Advisor,QA Lead,
R033,Schedule Buffer Risk,Risk Response Planning,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R034,QA Resource Allocation Risk,Risk Response Planning,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R035,Safety Protocol Risk,Risk Response Planning,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HSE Officer,QA Lead,
R036,Access Contingency Risk,Risk Response Planning,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R037,Design Rework Response Risk,Risk Response Planning,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R038,Permit Escalation Risk,Risk Response Planning,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R039,Resource Contingency Risk,Risk Response Planning,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HR Manager,QA Lead,
R040,Communication Breakdown Risk,Risk Response Planning,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R041,Mitigation Effectiveness Risk,Risk Monitoring & Control,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R042,QA Oversight Risk,Risk Monitoring & Control,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R043,Permit Status Risk,Risk Monitoring & Control,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R044,Design Change Tracking Risk,Risk Monitoring & Control,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R045,Access Monitoring Risk,Risk Monitoring & Control,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R046,Safety Audit Risk,Risk Monitoring & Control,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HSE Officer,QA Lead,
R047,Resource Tracking Risk,Risk Monitoring & Control,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HR Manager,QA Lead,
R048,Schedule Drift Risk,Risk Monitoring & Control,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R049,Vendor Performance Risk,Risk Monitoring & Control,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R050,Cost Tracking Risk,Risk Monitoring & Control,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R051,QA Report Inconsistency,Risk Documentation,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,QA Lead,QA Lead,
R052,Permit Archive Risk,Risk Documentation,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R053,Design Record Risk,Risk Documentation,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Design Lead,QA Lead,
R054,Access Log Risk,Risk Documentation,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Site Planner,QA Lead,
R055,Safety Record Risk,Risk Documentation,Major,9,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HSE Officer,QA Lead,
R056,Resource Closure Risk,Risk Documentation,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,HR Manager,QA Lead,
R057,Schedule Closure Risk,Risk Documentation,Minor,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
R058,Vendor Record Risk,Risk Documentation,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Procurement Officer,QA Lead,
R059,Cost Closure Risk,Risk Documentation,Moderate,6,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,Project Manager,QA Lead,
R060,Governance Summary Risk,Risk Documentation,Moderate,4,Mitigation plan needed. Assign owner and track closely.,Bi-weekly review during execution.,PMO Officer,QA Lead,
